"Age Group 1 by Crash Time (Hour)",,"Crash Date (Year)",,,,,,,,,,,,,,,
,,"2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","Total"
,"5:00am-5:59am",1141,1204,1164,1185,1017,917,937,876,916,931,994,1067,1248,1135,1168,15900
,"6:00am-6:59am",1384,1519,1525,1354,1197,1113,1100,1118,1181,1187,1186,1309,1382,1375,1421,19351
,"7:00am-7:59am",1481,1537,1448,1365,1283,973,1144,1064,1115,1145,1112,1245,1250,1257,1242,18661
,"8:00am-8:59am",1244,1238,1241,1178,1015,968,929,980,926,945,965,976,1049,1010,1018,15682
,"9:00am-9:59am",1281,1261,1173,1140,1127,957,967,924,1015,933,882,1028,1080,1005,1004,15777

,"10:00am-10:59am",1403,1403,1367,1263,1203,1059,1061,1003,1083,1087,1077,1122,1100,1151,1132,17514
,"11:00am-11:59am",1569,1464,1495,1445,1330,1223,1192,1183,1180,1197,1179,1250,1344,1306,1380,19737
,"12:00pm-12:59pm",1725,1683,1690,1637,1443,1310,1334,1368,1339,1247,1290,1342,1451,1559,1447,21865
,"1:00pm-1:59pm",1840,1834,1863,1694,1582,1468,1463,1436,1398,1433,1429,1513,1641,1632,1560,23786
,"2:00pm-2:59pm",2197,2100,2036,1987,1751,1637,1569,1554,1629,1550,1474,1655,1722,1785,1708,26354
,"3:00pm-3:59pm",2256,2447,2231,2262,1946,1774,1728,1659,1798,1726,1637,1839,1942,1933,1814,28992
,"4:00pm-4:59pm",2390,2311,2223,2197,1909,1768,1802,1727,1793,1688,1713,1822,1995,1958,1839,29135
,"5:00pm-5:59pm",2417,2485,2241,2170,1975,1933,1839,1818,1856,1793,1846,1992,2087,2118,2015,30585
,"6:00pm-6:59pm",2329,2362,2312,2169,2059,1908,1849,1777,1913,1814,1902,2046,2170,2175,2100,30885
,"7:00pm-7:59pm",2165,2199,2177,1968,1918,1809,1731,1615,1755,1714,1691,1933,2057,2054,1993,28779

,"8:00pm-8:59pm",2145,2258,2123,2220,1905,1717,1614,1713,1773,1734,1767,2004,2092,2116,2111,29292
,"9:00pm-9:59pm",2123,2146,2162,2113,1938,1753,1585,1660,1734,1764,1786,1960,1977,2047,2111,28859
,"10:00pm-10:59pm",2006,1975,2061,1913,1745,1576,1481,1468,1493,1597,1592,1701,1816,1826,1758,26008
,"11:00pm-11:59pm",1799,1877,1855,1851,1767,1446,1425,1353,1439,1463,1388,1465,1618,1649,1582,23977
,"Unknown Hours",374,333,332,352,281,267,236,218,260,229,238,263,267,276,251,4177
,"Total",42836,43510,42708,41259,37423,33883,32999,32479,33782,32893,32744,35484,37806,37473,36560,553839


